Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",116.750000,-91.250000,180.000000,top
"C2","20pF","C_0402_1005Metric",114.750000,-83.750000,180.000000,top
"C3","20pF","C_0402_1005Metric",114.750000,-91.250000,0.000000,top
"C4","10uF","C_0805_2012Metric",132.000000,-89.750000,180.000000,top
"C5","10uF","C_0805_2012Metric",129.150000,-86.868000,90.000000,top
"C6","100nF","C_0402_1005Metric",118.750000,-85.750000,90.000000,top
"C7","100nF","C_0402_1005Metric",127.250000,-85.750000,90.000000,top
"C8","100nF","C_0402_1005Metric",125.730000,-96.266000,-90.000000,top
"C9","100nF","C_0402_1005Metric",116.750000,-92.500000,180.000000,top
"D1","B5819W","D_SOD-123",130.750000,-83.820000,0.000000,top
"D2","BLUE","LED_0603_1608Metric",115.000000,-95.250000,0.000000,top
"D3","RED","LED_0603_1608Metric",115.000000,-93.750000,0.000000,top
"H1","MouseBite","mouse-bite-1mm-slot",117.000000,-82.000000,0.000000,top
"H2","MouseBite","mouse-bite-1mm-slot",117.000000,-98.000000,0.000000,top
"H3","MouseBite","mouse-bite-1mm-slot",134.500000,-82.000000,0.000000,top
"H4","MouseBite","mouse-bite-1mm-slot",134.500000,-98.000000,0.000000,top
"J1","USB_A","USB_Male_A_UP2-AH-1-TH",137.000000,-90.000000,90.000000,top
"Q1","S9013","SOT-23",130.175000,-92.710000,0.000000,top
"R1","100k","R_0402_1005Metric",114.750000,-92.500000,180.000000,top
"R2","100k","R_0402_1005Metric",123.500000,-83.500000,-90.000000,top
"R3","1K5","R_0402_1005Metric",129.250000,-90.200000,180.000000,top
"R4","10k","R_0402_1005Metric",133.000000,-92.000000,90.000000,top
"R5","39k","R_0402_1005Metric",133.000000,-94.500000,90.000000,top
"R6","100R","R_0402_1005Metric",131.000000,-95.250000,0.000000,top
"R7","10k","R_0402_1005Metric",121.250000,-83.500000,-90.000000,top
"R8","DNP","R_0402_1005Metric",119.250000,-83.500000,-90.000000,top
"R9","100R","R_0402_1005Metric",127.762000,-96.266000,90.000000,top
"R10","4k7","R_0402_1005Metric",122.000000,-96.250000,-90.000000,top
"R11","4k7","R_0402_1005Metric",120.500000,-96.250000,90.000000,top
"R12","220R","R_0402_1005Metric",118.000000,-95.250000,0.000000,top
"R13","220R","R_0402_1005Metric",113.300000,-96.750000,180.000000,top
"U1","XC6206P332MR","SOT-23",132.080000,-86.868000,180.000000,top
"U2","STM32F103C8","LQFP-48_7x7mm_P0.5mm",123.000000,-90.000000,270.000000,top
"Y1","8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",115.750000,-87.500000,-90.000000,top
