Reference,Value,Qty,LCSC
B1,~,1,
C1,100nF,1,C1525
C2,20pF,1,C1554
C3,20pF,1,C1554
C4,10uF,1,C15850
C5,10uF,1,C15850
C6,100nF,1,C1525
C7,100nF,1,C1525
C8,100nF,1,C1525
C9,100nF,1,C1525
C10,100nF,1,C1525
D1,B5819W,1,C8598
D2,BLUE,1,C72041
D3,RED,1,C2286
J1,USB_C_Receptacle_USB2.0-Connector,1,C165948
J2,IDC 2x5,1,C41376028
JP1,SolderJumper3,1,
Q1,S9013,1,C6749
R1,100k,1,C25741
R2,100k,1,C25741
R3,5k1,1,C25905
R4,5k1,1,C25905
R5,1K5,1,C25867
R6,10k,1,C25744
R7,DNP,1,xxC25744
R8,10k,1,C25744
R9,39k,1,C25783
R10,100R,1,C25076
R11,100R,1,C25076
R12,4k7,1,C25900
R13,4k7,1,C25900
R14,220R,1,C25091
R15,220R,1,C25091
U1,STM32F103CB,1,C8304
U3,AMS1117-3.3,1,C6186
Y1,8MHz,1,C115962
